delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr
246.1970872,181.6433892,167.6160559,268.642226,0.623937861,0.676153529,0.916449699,1.083687289,1.468815657,1.019675103
277.1986294,257.6169315,191.5755295,256.0558202,0.748178774,1.006096762,1.082571094,1.344727754,1.446941737,0.836982658
218.3712783,202.0847881,193.3592676,302.393072,0.639430217,0.668285112,0.722143787,1.04512595,1.129355117,1.17908238
311.8091024,264.8521012,161.7582801,308.7939248,0.523838933,0.857698549,1.009764369,1.637332574,1.92762375,0.815994213
162.3283848,144.2772703,105.9879929,253.3406413,0.418361587,0.569499112,0.640751456,1.36126052,1.531573346,1.171956968
252.829762,189.0052904,182.2219875,313.5790774,0.581103781,0.602735654,0.806271146,1.037225491,1.387482188,1.122140632
250.9723919,241.187778,236.2367393,377.1818574,0.626320526,0.639446923,0.665388292,1.020957954,1.062376634,1.246380008
248.0840516,299.0019899,251.3272867,389.6706195,0.644973663,0.767319821,0.636650646,1.189691712,0.987095571,1.171658309
203.0772398,238.5366806,179.5260505,201.4802802,0.891035342,1.183920731,1.007926134,1.328702325,1.131185359,0.862758878
237.4366695,187.2266732,168.4806646,236.1301829,0.713507534,0.792895982,1.005532908,1.111265044,1.409281415,0.952780254
180.3242312,179.4323085,134.5521492,220.3512087,0.610625873,0.814301449,0.818349181,1.333552154,1.34018098,0.986509816
281.6866142,197.8753524,142.228841,306.8996477,0.463437616,0.64475588,0.917846,1.391246325,1.980516836,0.936539008
216.2575206,219.4777756,164.655555,253.7771592,0.648819443,0.864844481,0.852155179,1.332950932,1.313393408,0.960291071
203.5663953,170.8104396,126.5528502,214.640609,0.589603481,0.795797405,0.948405785,1.34971626,1.608548484,0.911363704
303.5203915,202.7782313,158.8017585,265.169705,0.598868406,0.764711155,1.144626953,1.276926863,1.911316312,0.837394068
230.607059,215.5307328,130.346762,166.6022531,0.782382949,1.293684382,1.384177313,1.653518119,1.769181339,0.66559933
140.2998327,99.32861849,81.32985196,191.9218397,0.423765488,0.51754724,0.731025885,1.221305782,1.725071782,1.140314058
66.58458699,72.12289561,90.11631485,179.3560355,0.502443726,0.402121375,0.371242522,0.800331169,0.738873833,1.942738382
144.2545762,79.3845192,73.71804209,170.6117726,0.432080629,0.465293326,0.845513612,1.076866896,1.956842207,1.092518347
110.9683075,85.30010231,79.23638028,152.77025,0.518663682,0.558355454,0.726373803,1.076526994,1.400471691,1.182088501
181.3901286,131.9559501,117.0997822,186.750895,0.627037328,0.706588047,0.971294561,1.126867596,1.549021912,0.96969676
125.9157213,85.72935914,77.27060339,156.0121726,0.495285734,0.549504296,0.807089083,1.10946926,1.629542359,1.102235759
146.9241685,141.0377343,83.18147348,157.7881664,0.527171811,0.89384228,0.931148209,1.69554263,1.766308799,0.836810833
130.199969,94.76929006,100.6089559,205.4790131,0.489631298,0.46121153,0.633641203,0.941956799,1.294119075,1.360576864
138.9966979,84.18571476,106.4447475,183.6479563,0.579613025,0.458408122,0.756864932,0.790886509,1.305810772,1.299800913
